PLD,LCD,LCD/PLD,ASA,Porosity,PV,C%,H%,N%,O%,Metal%,Halogen%,TDU,KCH4,NCH4 0.1 Bar (mol/kg)
4.3226,11.39486,2.64,1334.33,0.66554,0.701213538,42.85714286,14.28571429,0,28.57142857,7.142857143,7.142857143,241.00,1.73309E-05,0.080707557
4.5108,11.27344,2.50,1339.03,0.6655,0.679589938,42.85714286,14.28571429,0,28.57142857,7.142857143,7.142857143,241.00,1.76531E-05,0.08361508
7.83744,9.47418,1.21,3724.87,0.73276,1.226924835,53.06122449,36.73469388,8.163265306,0,2.040816327,0,273.00,1.06118E-05,0.053070044
13.71867,18.8079,1.37,2386.88,0.75256,1.115943598,50,25,0,20,2.5,0,721.00,1.29064E-05,0.062747668
3.9715,4.73097,1.19,307.408,0.47138,0.247260558,38.88888889,11.11111111,11.11111111,33.33333333,5.555555556,0,865.00,5.5042E-06,0.027203892
3.92183,4.69665,1.20,276.716,0.46724,0.237223424,38.88888889,11.11111111,11.11111111,33.33333333,5.555555556,0,865.00,5.35931E-06,0.026477712
3.82431,4.33176,1.13,295.9,0.44506,0.330504006,44.94382022,31.46067416,11.23595506,8.988764045,3.370786517,0,1249.00,0.000013475,0.064949255
4.03039,5.07969,1.26,1000.71,0.61912,0.534493624,42.85714286,25,0,25,7.142857143,0,545.00,1.86419E-05,0.091458337
8.27985,8.50423,1.03,988.93,0.58898,0.525537155,34.28571429,48.57142857,5.714285714,5.714285714,2.857142857,2.857142857,169.00,4.82498E-06,0.023869875
5.74044,6.1865,1.08,669.895,0.48676,0.374004979,37.93103448,41.37931034,3.448275862,13.79310345,3.448275862,0,481.00,1.52524E-05,0.074469296
6.10482,6.86398,1.12,819.573,0.51508,0.422643615,37.70491803,42.62295082,3.278688525,13.1147541,3.278688525,0,241.00,1.19295E-05,0.059531931
7.03071,8.25776,1.17,1645,0.64752,0.588151943,45,15,0,32.5,7.5,0,481.00,9.54789E-06,0.047411297
4.65537,7.1439,1.53,1308.72,0.60312,0.524798998,48.86363636,28.40909091,0,18.18181818,2.272727273,0,733.00,2.06687E-05,0.102432616
3.89327,5.20085,1.34,916.974,0.5576,0.48294618,36.7816092,41.37931034,13.79310345,4.597701149,1.149425287,2.298850575,337.00,4.80739E-05,0.229515638
3.94888,5.20115,1.32,858.008,0.55324,0.439246697,36.7816092,41.37931034,13.79310345,4.597701149,1.149425287,2.298850575,337.00,4.44346E-05,0.212263941
5.53552,8.42183,1.52,2322.35,0.68256,0.790538921,45.61403509,35.0877193,0,16.66666667,2.631578947,0,769.00,1.19219E-05,0.059039669
3.93435,5.00451,1.27,606.535,0.4804,0.373956906,43.90243902,26.82926829,12.19512195,14.63414634,2.43902439,0,901.00,0.000014321,0.068815664
7.87202,10.32513,1.31,1613.23,0.6791,0.631069314,41.37931034,20.68965517,6.896551724,13.79310345,10.34482759,0,1297.00,2.30205E-06,0.011586358
5.64581,10.39878,1.84,1569.81,0.67236,0.748990741,46.15384615,17.30769231,5.769230769,25,5.769230769,0,1249.00,1.10727E-05,0.055047062
3.959,9.19439,2.32,2297.32,0.69564,0.76749097,60.60606061,0,24.24242424,6.060606061,9.090909091,0,961.00,8.01042E-06,0.040151911
7.0599,7.194,1.02,1213.61,0.5922,0.489288045,44.44444444,22.22222222,0,27.77777778,5.555555556,0,577.00,0.000036165,0.179734988
10.4443,11.38761,1.09,954.478,0.57586,0.560256847,49.18032787,29.50819672,3.278688525,6.557377049,1.639344262,9.836065574,1009.00,0.000101925,0.345636982
5.80535,7.28268,1.25,596.927,0.50044,0.430615669,47.05882353,31.37254902,19.60784314,0,1.960784314,0,577.00,8.04607E-06,0.03973009
4.62167,5.96211,1.29,901.131,0.51094,0.462816355,49.31506849,32.87671233,16.43835616,0,1.369863014,0,865.00,2.15839E-05,0.104797806
5.43889,6.29847,1.16,675.441,0.50736,0.455742594,43.90243902,39.02439024,4.87804878,9.756097561,2.43902439,0,481.00,5.07877E-06,0.025116963
8.0633,15.68052,1.94,4902.5,0.79826,1.686508733,47.27272727,29.09090909,18.18181818,0,1.818181818,0,433.00,9.00453E-06,0.044936686
6.88163,13.37732,1.94,2601.94,0.74408,0.925151595,47.19101124,31.46067416,0,17.97752809,3.370786517,0,225.00,6.47778E-06,0.03233856
5.53211,6.09101,1.10,926.685,0.59316,0.438870638,22.58064516,32.25806452,35.48387097,0,9.677419355,0,193.00,5.31151E-06,0.026042473
5.0609,12.13124,2.40,2130.9,0.69536,0.765209889,27.11864407,20.33898305,33.89830508,13.55932203,5.084745763,0,481.00,1.23352E-05,0.060843694
4.07254,8.49751,2.09,1086.67,0.6039,0.474622361,42.10526316,24.56140351,0,28.07017544,5.263157895,0,545.00,1.34518E-05,0.064575784
8.11021,14.70209,1.81,3354.52,0.81698,1.299772813,45.28301887,22.64150943,0,24.52830189,7.547169811,0,433.00,3.12284E-06,0.015675279
11.94118,14.46967,1.21,4458.08,0.83426,1.941968598,53.76344086,19.35483871,8.602150538,13.97849462,4.301075269,0,493.00,4.25748E-06,0.02172264
15.85622,20.5205,1.29,4844.8,0.89086,3.019843933,45.87155963,22.01834862,7.339449541,21.10091743,3.669724771,0,305.00,4.16171E-06,0.021005894
9.02496,10.8747,1.20,6841.41,0.85562,2.528637121,51.61290323,25.80645161,3.225806452,16.12903226,3.225806452,0,193.00,0.000004556,0.023175454
5.53143,7.3732,1.33,1575.13,0.6166,0.589303464,54.54545455,12.12121212,3.03030303,12.12121212,3.03030303,15.15151515,577.00,2.97712E-05,0.139670784
