PLD,LCD,LCD/PLD,SA,Porosity,PV,C%,H%,N%,O%,Metal %,Halogen %,TDU,KCH4,NCH4 1 Bar (mol/kg)
4.3226,11.39486,2.636112525,1334.33,0.66554,0.701213538,42.85714286,14.28571429,0,28.57142857,7.142857143,7.142857143,241,1.73E-05,0.56830857
4.5108,11.27344,2.499210783,1339.03,0.6655,0.679589938,42.85714286,14.28571429,0,28.57142857,7.142857143,7.142857143,241,1.77E-05,0.586067325
7.83744,9.47418,1.208836049,3724.87,0.73276,1.226924835,53.06122449,36.73469388,8.163265306,0,2.040816327,0,273,1.06E-05,0.528580968
13.71867,18.8079,1.370971093,2386.88,0.75256,1.115943598,50,25,0,20,2.5,0,721,1.29E-05,0.56721312
3.9715,4.73097,1.191230014,307.408,0.47138,0.247260558,38.88888889,11.11111111,11.11111111,33.33333333,5.555555556,0,865,5.50E-06,0.234981686
3.92183,4.69665,1.197565932,276.716,0.46724,0.237223424,38.88888889,11.11111111,11.11111111,33.33333333,5.555555556,0,865,5.36E-06,0.229405071
3.82431,4.33176,1.132690603,295.9,0.44506,0.330504006,44.94382022,31.46067416,11.23595506,8.988764045,3.370786517,0,1249,0.000013475,0.491986061
4.03039,5.07969,1.260347014,1000.71,0.61912,0.534493624,42.85714286,25,0,25,7.142857143,0,545,1.86E-05,0.786966034
8.27985,8.50423,1.027099525,988.93,0.58898,0.525537155,34.28571429,48.57142857,5.714285714,5.714285714,2.857142857,2.857142857,169,4.82E-06,0.232433771
5.74044,6.1865,1.077704845,669.895,0.48676,0.374004979,37.93103448,41.37931034,3.448275862,13.79310345,3.448275862,0,481,1.53E-05,0.590105033
6.10482,6.86398,1.124354199,819.573,0.51508,0.422643615,37.70491803,42.62295082,3.278688525,13.1147541,3.278688525,0,241,1.19E-05,0.559814475
7.03071,8.25776,1.174527181,1645,0.64752,0.588151943,45,15,0,32.5,7.5,0,481,9.55E-06,0.456565945
4.65537,7.1439,1.534550422,1308.72,0.60312,0.524798998,48.86363636,28.40909091,0,18.18181818,2.272727273,0,733,2.07E-05,0.860172533
3.89327,5.20085,1.335856491,916.974,0.5576,0.48294618,36.7816092,41.37931034,13.79310345,4.597701149,1.149425287,2.298850575,337,4.81E-05,1.585130273
3.94888,5.20115,1.317120297,858.008,0.55324,0.439246697,36.7816092,41.37931034,13.79310345,4.597701149,1.149425287,2.298850575,337,4.44E-05,1.452450556
5.53552,8.42183,1.521416236,2322.35,0.68256,0.790538921,45.61403509,35.0877193,0,16.66666667,2.631578947,0,769,1.19E-05,0.549220642
3.93435,5.00451,1.27200427,606.535,0.4804,0.373956906,43.90243902,26.82926829,12.19512195,14.63414634,2.43902439,0,901,0.000014321,0.570782703
7.87202,10.32513,1.311623954,1613.23,0.6791,0.631069314,41.37931034,20.68965517,6.896551724,13.79310345,10.34482759,0,1297,2.30E-06,0.112853952
5.64581,10.39878,1.841857944,1569.81,0.67236,0.748990741,46.15384615,17.30769231,5.769230769,25,5.769230769,0,1249,1.11E-05,0.517203091
3.959,9.19439,2.322402122,2297.32,0.69564,0.76749097,60.60606061,0,24.24242424,6.060606061,9.090909091,0,961,8.01E-06,0.389586728
7.0599,7.194,1.018994603,1213.61,0.5922,0.489288045,44.44444444,22.22222222,0,27.77777778,5.555555556,0,577,0.000036165,1.584572615
10.4443,11.38761,1.090318164,954.478,0.57586,0.560256847,49.18032787,29.50819672,3.278688525,6.557377049,1.639344262,9.836065574,1009,0.000101925,1.071208767
5.80535,7.28268,1.254477336,596.927,0.50044,0.430615669,47.05882353,31.37254902,19.60784314,0,1.960784314,0,577,8.05E-06,0.362920493
4.62167,5.96211,1.290033689,901.131,0.51094,0.462816355,49.31506849,32.87671233,16.43835616,0,1.369863014,0,865,2.16E-05,0.821539081
5.43889,6.29847,1.158043277,675.441,0.50736,0.455742594,43.90243902,39.02439024,4.87804878,9.756097561,2.43902439,0,481,5.08E-06,0.233025674
8.0633,15.68052,1.944677737,4902.5,0.79826,1.686508733,47.27272727,29.09090909,18.18181818,0,1.818181818,0,433,9.00E-06,0.444158663
6.88163,13.37732,1.943917357,2601.94,0.74408,0.925151595,47.19101124,31.46067416,0,17.97752809,3.370786517,0,225,6.48E-06,0.316868104
5.53211,6.09101,1.10102836,926.685,0.59316,0.438870638,22.58064516,32.25806452,35.48387097,0,9.677419355,0,193,5.31E-06,0.249726238
5.0609,12.13124,2.397051908,2130.9,0.69536,0.765209889,27.11864407,20.33898305,33.89830508,13.55932203,5.084745763,0,481,1.23E-05,0.526092179
4.07254,8.49751,2.086538131,1086.67,0.6039,0.474622361,42.10526316,24.56140351,0,28.07017544,5.263157895,0,545,1.35E-05,0.488788834
8.11021,14.70209,1.812787832,3354.52,0.81698,1.299772813,45.28301887,22.64150943,0,24.52830189,7.547169811,0,433,3.12E-06,0.156571663
11.94118,14.46967,1.211745405,4458.08,0.83426,1.941968598,53.76344086,19.35483871,8.602150538,13.97849462,4.301075269,0,493,4.26E-06,0.210103543
15.85622,20.5205,1.294160903,4844.8,0.89086,3.019843933,45.87155963,22.01834862,7.339449541,21.10091743,3.669724771,0,305,4.16E-06,0.207810332
9.02496,10.8747,1.204958249,6841.41,0.85562,2.528637121,51.61290323,25.80645161,3.225806452,16.12903226,3.225806452,0,193,0.000004556,0.227615072
5.53143,7.3732,1.332964532,1575.13,0.6166,0.589303464,54.54545455,12.12121212,3.03030303,12.12121212,3.03030303,15.15151515,577,2.98E-05,0.91766405
4.46842,5.7583,1.288665792,2636.1,0.70828,0.738672688,44.44444444,4.444444444,0,28.88888889,8.888888889,13.33333333,609,3.87E-06,0.190855294
9.00897,15.55627,1.726753447,3888.41,0.78398,1.401388196,51.61290323,25.80645161,6.451612903,12.90322581,3.225806452,0,289,8.03E-06,0.391208974
7.82539,11.50806,1.470605299,3213.19,0.73848,1.063650819,50.70422535,22.53521127,0,21.12676056,5.633802817,0,1009,8.31E-06,0.398109253
5.40077,12.29205,2.275981018,2186.29,0.69278,0.785522743,54.54545455,22.72727273,4.545454545,10.22727273,3.409090909,4.545454545,913,1.20E-05,0.538744099
13.49014,22.82402,1.691903865,4825.11,0.87138,2.533508557,46.32352941,24.26470588,8.823529412,16.17647059,4.411764706,0,373,4.44E-06,0.22009931
10.92309,21.62414,1.979672419,4183.97,0.85002,1.951346053,46.39175258,21.64948454,12.37113402,13.40206186,6.18556701,0,277,7.00E-06,0.333334265
6.60024,18.23438,2.762684387,3362.83,0.76974,1.223263849,47.82608696,26.08695652,0,21.73913043,4.347826087,0,1537,8.95E-06,0.418442949
6.71346,18.07263,2.691999357,3398.29,0.77286,1.223576721,47.82608696,26.08695652,0,21.73913043,4.347826087,0,1537,1.02E-05,0.47837547
6.7332,17.16775,2.549716331,3442.18,0.7602,1.214972838,47.14285714,25.71428571,0,22.85714286,4.285714286,0,1537,8.10E-06,0.382446656
10.27637,26.33515,2.562689938,5140.56,0.86804,2.573724316,48.57142857,28.57142857,5.714285714,14.28571429,2.857142857,0,289,7.14E-06,0.348400635
13.33904,27.33782,2.049459331,6255.09,0.89344,3.741733919,57.93103448,31.03448276,0.689655172,8.275862069,2.068965517,0,493,5.81E-06,0.289644991
12.17426,24.55082,2.016617026,4551.51,0.87,2.304165773,44.03669725,22.01834862,13.76146789,14.67889908,5.504587156,0,289,5.78E-06,0.283575105
9.07611,10.5421,1.161521841,3380.19,0.73488,1.162643159,45.0867052,41.61849711,11.56069364,0,1.734104046,0,1345,1.17E-05,0.538619713
8.86044,10.34629,1.167694832,3351.76,0.72428,1.130606358,45.0867052,41.61849711,11.56069364,0,1.734104046,0,1345,1.06E-05,0.487941231
8.80719,10.21446,1.159786493,3266.85,0.72402,1.104803933,45.0867052,41.61849711,11.56069364,0,1.734104046,0,1345,1.29E-05,0.592238875
8.70819,10.15021,1.165593539,3336.18,0.72628,1.106682026,45.0867052,41.61849711,11.56069364,0,1.734104046,0,1345,1.25E-05,0.587018491
8.90065,10.34557,1.162338706,3384.01,0.73364,1.150659837,46.70658683,39.52095808,11.9760479,0,1.796407186,0,1441,1.10E-05,0.510774841
4.10445,5.76724,1.405118834,861.688,0.50398,0.398898237,46.42857143,28.57142857,3.571428571,17.85714286,3.571428571,0,649,4.05E-05,1.279360437
5.00855,5.72682,1.143408771,759.791,0.49644,0.387655979,46.42857143,28.57142857,3.571428571,17.85714286,3.571428571,0,865,0.000036816,1.114909108
3.91364,4.43355,1.132845637,434.935,0.48232,0.389712596,45.71428571,34.28571429,5.714285714,11.42857143,2.857142857,0,721,0.000234048,3.61970326
3.85295,5.48974,1.424814752,196.403,0.44944,0.261885478,29.19708029,23.35766423,5.839416058,27.73722628,13.13868613,0.729927007,385,8.97E-06,0.329256222
3.86825,5.46006,1.411506495,186.35,0.45158,0.265549381,29.19708029,23.35766423,5.839416058,27.73722628,13.13868613,0.729927007,385,9.26E-06,0.345535659
4.9065,10.017,2.041577499,1810.4,0.67828,0.65297085,35.29411765,17.64705882,17.64705882,20.58823529,8.823529412,0,577,4.30E-06,0.209220782
5.30365,5.97541,1.126659942,752.674,0.53846,0.442590477,46.01769912,35.39823009,0,16.81415929,1.769911504,0,513,0.000030652,0.951530692
5.31331,5.9443,1.118756481,702.209,0.52528,0.407838753,46.01769912,35.39823009,0,16.81415929,1.769911504,0,513,0.000035782,1.020099821
5.29096,5.93338,1.121418419,684.856,0.52144,0.396312313,46.01769912,35.39823009,0,16.81415929,1.769911504,0,513,0.000038294,1.059357316
5.05258,12.71447,2.516431209,1584.52,0.68038,0.667098077,31.57894737,31.57894737,10.52631579,21.05263158,5.263157895,0,145,7.75E-05,0.959271288
17.12424,25.68553,1.499951531,3165.13,0.84016,2.087006635,47.72727273,29.54545455,6.818181818,13.63636364,2.272727273,0,697,4.54E-06,0.224819438
6.55138,9.28386,1.417084645,2639.64,0.71238,0.986507839,48.64864865,32.43243243,0,16.21621622,2.702702703,0,1153,1.10E-05,0.518774969
5.99724,16.37935,2.731147995,4364.51,0.77264,1.482291505,49.31506849,32.87671233,0,16.43835616,1.369863014,0,289,1.28E-05,0.62825025
5.12689,5.99825,1.169958786,1335.97,0.58244,0.528870688,37.38317757,29.90654206,8.411214953,2.803738318,1.869158879,16.82242991,649,1.87E-05,0.794877246
4.09997,4.64022,1.131769257,986.751,0.53114,0.496726769,53.06122449,32.65306122,4.081632653,8.163265306,2.040816327,0,721,7.27E-05,2.154085269
5.08524,7.14066,1.404193312,885.166,0.5421,0.409797029,53.84615385,25.64102564,2.564102564,10.25641026,2.564102564,5.128205128,769,1.25E-05,0.502250887
4.52097,6.3306,1.40027472,984.296,0.55848,0.497651996,35.29411765,35.29411765,23.52941176,0,5.882352941,0,721,1.72E-05,0.596176778
4.7481,6.43864,1.356045576,1004.7,0.5662,0.502958054,35.29411765,35.29411765,23.52941176,0,5.882352941,0,721,0.000017051,0.588680441
6.81408,8.80212,1.29175472,1440.69,0.62122,0.586228048,52.5,30,0,15,2.5,0,721,2.90E-05,0.996325635
6.54754,8.32882,1.272053321,1453.29,0.61562,0.591504367,52.5,30,0,15,2.5,0,721,2.82E-05,0.989586056
6.74118,8.79334,1.304421481,1375.75,0.61642,0.563043478,52.5,30,0,15,2.5,0,1081,3.08E-05,1.036311584
4.22739,5.94533,1.406383135,1472.13,0.61602,0.629798737,39.0625,32.8125,23.4375,1.5625,3.125,0,523,2.12E-05,0.881563446
5.81418,5.92566,1.019173813,302.984,0.4119,0.244852102,31.57894737,21.05263158,0,42.10526316,5.263157895,0,641,7.47E-06,0.272040606
8.61929,9.08566,1.054107705,2492.78,0.71372,0.936779339,40,32,24,0,4,0,385,8.41E-06,0.41425944
5.71785,7.73482,1.352749722,1460.84,0.59278,0.60521845,58.06451613,19.35483871,19.35483871,0,3.225806452,0,1441,9.65E-06,0.454061783
4.7743,5.96671,1.249755985,1512.65,0.58902,0.613754298,45.71428571,35.71428571,2.857142857,13.57142857,2.142857143,0,937,0.000067711,1.269511008
5.47442,8.69504,1.588303418,2309.37,0.65516,0.835352139,47.63636364,34.18181818,2.181818182,13.81818182,2.181818182,0,673,1.40E-05,0.629135367
4.58891,5.43312,1.183967435,1349.7,0.62754,0.452636666,47.36842105,15.78947368,0,31.57894737,5.263157895,0,541,0.000011541,0.523997952
6.25183,6.77693,1.083991407,650.902,0.51648,0.291475493,34.375,12.5,12.5,34.375,6.25,0,577,5.20E-06,0.233109592
6.85619,10.92956,1.594115682,2103.35,0.68816,0.689283532,45,15,0,31.66666667,8.333333333,0,1441,1.01E-05,0.448981263
8.71559,12.6138,1.44726863,3282.06,0.75884,1.30010708,44.24778761,38.9380531,7.079646018,7.079646018,2.654867257,0,449,1.05E-05,0.462828809
4.90729,5.63222,1.147725119,798.657,0.55474,0.385857771,45.45454545,13.63636364,0,36.36363636,4.545454545,0,817,1.39E-05,0.568103194
5.90611,6.16099,1.043155309,1900.69,0.66248,0.611973802,47.61904762,9.523809524,0,38.0952381,4.761904762,0,649,9.05E-06,0.427809768
9.20691,13.91201,1.511040078,3299.9,0.7798,1.265837168,73.4375,0,4.6875,17.1875,4.6875,0,377,5.15E-06,0.253579855
4.11181,6.0722,1.476770571,1077.01,0.59632,0.512060453,25.71428571,25.71428571,34.28571429,5.714285714,4.285714286,4.285714286,289,0.000013071,0.570744123
3.90831,4.44036,1.136133009,159.995,0.40324,0.179223354,16,18,0,48,10,0,190,9.51E-06,0.31714184
4.32303,5.2765,1.220555953,614.956,0.51092,0.373689869,50.90909091,29.09090909,2.424242424,14.54545455,3.03030303,0,961,2.06E-05,0.725663502
4.89301,7.12611,1.456385742,359.997,0.42696,0.215210291,26.96629213,33.70786517,6.741573034,26.96629213,5.617977528,0,325,0.00001494,0.441182518
4.85632,5.15455,1.061410698,290.49,0.42748,0.218491089,46.34146341,14.63414634,0,19.51219512,4.87804878,14.63414634,1537,5.89E-06,0.252920734
5.31262,5.94406,1.118856609,1676.32,0.585,0.631851129,50.90909091,36.36363636,3.636363636,7.272727273,1.818181818,0,721,4.28E-05,1.606857295
4.38484,5.04792,1.151221025,637.477,0.50342,0.385830453,35.05154639,35.05154639,8.24742268,14.43298969,3.092783505,0,409,3.79E-05,1.069542226
5.98269,11.92678,1.993548053,3595.66,0.7674,1.180669877,52,16,4,24,4,0,529,1.17E-05,0.512441046
5.8094,8.58065,1.477028609,3829.97,0.74696,1.071239061,52,16,4,24,4,0,705,9.24E-06,0.446347967
14.56862,19.86541,1.363575273,5239.57,0.8979,3.268954219,44.11764706,30.88235294,8.823529412,13.97058824,2.205882353,0,469,5.80E-06,0.288426525
7.13825,18.06508,2.53074353,3583.27,0.78558,1.307595767,44,24,8,20,4,0,385,8.67E-06,0.416991945
7.10984,18.20917,2.561122332,3616.43,0.7878,1.330574674,44,24,8,20,4,0,385,8.57E-06,0.41512228
3.91412,6.17139,1.576699233,348.73,0.47888,0.334268683,38.24701195,19.52191235,19.12350598,18.32669323,4.780876494,0,573,7.99E-06,0.375776703
5.01976,7.8603,1.565871675,1872.41,0.63848,0.651621246,44.73684211,26.31578947,0,23.68421053,5.263157895,0,577,8.84E-06,0.424602179
5.75713,6.38387,1.10886327,836.806,0.56368,0.42108094,42.5,25,0,25,7.5,0,769,1.55E-06,0.077205845
5.21411,9.3993,1.802666227,1734.94,0.65336,0.7249519,49.6350365,27.73722628,2.919708029,17.51824818,2.189781022,0,1177,9.67E-06,0.447101638
5.599,9.32283,1.665088409,1886.63,0.66208,0.703914333,51.5625,24.21875,2.34375,18.75,3.125,0,1213,8.42E-06,0.399524924
5.12412,6.86569,1.339876896,763.837,0.52398,0.439694887,45.71428571,22.85714286,0,25.71428571,5.714285714,0,769,1.38E-06,0.067837956
5.02701,7.87306,1.566151649,1814.29,0.62718,0.698071227,43.38624339,38.0952381,2.645502646,14.28571429,1.587301587,0,1105,1.20E-05,0.545247229
4.84057,5.59976,1.156838967,802.013,0.57368,0.384617448,31.74603175,22.22222222,12.6984127,3.174603175,11.11111111,19.04761905,209,2.07E-06,0.098403596
6.77342,8.54387,1.26138199,5152.82,0.78994,1.393388838,48.8372093,27.90697674,6.976744186,13.95348837,2.325581395,0,241,6.92E-06,0.346453973
6.76817,8.54787,1.262951433,5042.3,0.78954,1.361419046,48.8372093,27.90697674,6.976744186,13.95348837,2.325581395,0,241,6.81E-06,0.33915102
6.74275,8.53005,1.26506989,4965.77,0.78896,1.335163282,48.8372093,27.90697674,6.976744186,13.95348837,2.325581395,0,241,6.82E-06,0.336498955
13.37911,18.75501,1.401812976,3444.39,0.83558,1.961704066,49.12280702,28.07017544,7.01754386,14.03508772,1.754385965,0,241,4.01E-06,0.199219459
5.66314,6.60314,1.165985655,524.815,0.44294,0.296779208,40,24,16,16,4,0,757,2.86E-05,0.740191328
6.0951,6.93247,1.137384128,591.602,0.45062,0.308821514,40,24,16,16,4,0,1345,2.27E-05,0.693197202
9.17864,11.03089,1.201800049,1145.77,0.60242,0.597959224,44.11764706,35.29411765,5.882352941,11.76470588,2.941176471,0,865,2.84E-05,0.72025289
11.07263,11.39418,1.029040074,1178.61,0.6096,0.620543281,44.11764706,35.29411765,5.882352941,11.76470588,2.941176471,0,865,2.72E-05,0.68498811
