PLD ,LCD,LCD/PLD,ASA,Porosity,PV,C%,H%,N%,O%,Metal%,Halogen%,TDU,KN2,NN2 1 Bar (mol/kg)
4.3226,11.39486,2.636112525,1334.33,0.66554,0.701213538,42.85714286,14.28571429,0,28.57142857,7.142857143,7.142857143,241,3.62531E-06,0.133087042
4.5108,11.27344,2.499210783,1339.03,0.6655,0.679589938,42.85714286,14.28571429,0,28.57142857,7.142857143,7.142857143,241,3.67327E-06,0.134606835
7.83744,9.47418,1.208836049,3724.87,0.73276,1.226924835,53.06122449,36.73469388,8.163265306,0,2.040816327,0,273,4.00472E-06,0.196593886
13.71867,18.8079,1.370971093,2386.88,0.75256,1.115943598,50,25,0,20,2.5,0,721,3.71977E-06,0.165711508
3.9715,4.73097,1.191230014,307.408,0.47138,0.247260558,38.88888889,11.11111111,11.11111111,33.33333333,5.555555556,0,865,1.56375E-06,0.06707383
3.92183,4.69665,1.197565932,276.716,0.46724,0.237223424,38.88888889,11.11111111,11.11111111,33.33333333,5.555555556,0,865,1.37256E-06,0.058008088
3.82431,4.33176,1.132690603,295.9,0.44506,0.330504006,44.94382022,31.46067416,11.23595506,8.988764045,3.370786517,0,1249,2.18036E-06,0.078377222
4.03039,5.07969,1.260347014,1000.71,0.61912,0.534493624,42.85714286,25,0,25,7.142857143,0,545,4.4179E-06,0.185450001
8.27985,8.50423,1.027099525,988.93,0.58898,0.525537155,34.28571429,48.57142857,5.714285714,5.714285714,2.857142857,2.857142857,169,1.55178E-06,0.075088777
5.74044,6.1865,1.077704845,669.895,0.48676,0.374004979,37.93103448,41.37931034,3.448275862,13.79310345,3.448275862,0,481,2.76992E-06,0.104719372
6.10482,6.86398,1.124354199,819.573,0.51508,0.422643615,37.70491803,42.62295082,3.278688525,13.1147541,3.278688525,0,241,2.42917E-06,0.10937361
7.03071,8.25776,1.174527181,1645,0.64752,0.588151943,45,15,0,32.5,7.5,0,481,2.81301E-06,0.133468359
4.65537,7.1439,1.534550422,1308.72,0.60312,0.524798998,48.86363636,28.40909091,0,18.18181818,2.272727273,0,733,4.54594E-06,0.186393092
3.89327,5.20085,1.335856491,916.974,0.5576,0.48294618,36.7816092,41.37931034,13.79310345,4.597701149,1.149425287,2.298850575,337,7.63813E-06,0.241299463
3.94888,5.20115,1.317120297,858.008,0.55324,0.439246697,36.7816092,41.37931034,13.79310345,4.597701149,1.149425287,2.298850575,337,7.13847E-06,0.223134843
5.53552,8.42183,1.521416236,2322.35,0.68256,0.790538921,45.61403509,35.0877193,0,16.66666667,2.631578947,0,769,3.58957E-06,0.164192474
3.93435,5.00451,1.27200427,606.535,0.4804,0.373956906,43.90243902,26.82926829,12.19512195,14.63414634,2.43902439,0,901,2.85989E-06,0.112062278
7.87202,10.32513,1.311623954,1613.23,0.6791,0.631069314,41.37931034,20.68965517,6.896551724,13.79310345,10.34482759,0,1297,1.27491E-06,0.063078372
5.64581,10.39878,1.841857944,1569.81,0.67236,0.748990741,46.15384615,17.30769231,5.769230769,25,5.769230769,0,1249,3.60161E-06,0.166628767
